,STATEFP,COUNTYFP,TRACTCE,GEOIDFQ,GEOID,NAME,NAMELSAD,STUSPS,NAMELSADCO,STATE_NAME,LSAD,ALAND,AWATER,geometry,total_households,households_snap,households_public_assistance_income,impacted,impacted_pct
0,42,101,001500,1400000US42101001500,42101001500,15,Census Tract 15,PA,Philadelphia County,Pennsylvania,CT,239383,0,"POLYGON ((-8367393.534183614 4857759.059488603, -8366795.748518054 4857662.213194401, -8366445.426080528 4857603.989714825, -8366402.568076571 4857597.455929184, -8366270.654479982 4857576.547844014, -8366095.660240455 4857547.218520916, -8365919.55280602 4857519.63161287, -8365943.152538069 4857393.749167939, -8365968.199423497 4857232.732310163, -8366370.842021697 4857318.104313709, -8366832.261311035 4857393.458783521, -8367439.509133311 4857491.318813214, -8367393.534183614 4857759.059488603))",1486.0,66.0,73.0,66.0,4.4
1,42,101,001500,1400000US42101001500,42101001500,15,Census Tract 15,PA,Philadelphia County,Pennsylvania,CT,239383,0,"POLYGON ((-8367393.534183614 4857759.059488603, -8366795.748518054 4857662.213194401, -8366445.426080528 4857603.989714825, -8366402.568076571 4857597.455929184, -8366270.654479982 4857576.547844014, -8366095.660240455 4857547.218520916, -8365919.55280602 4857519.63161287, -8365943.152538069 4857393.749167939, -8365968.199423497 4857232.732310163, -8366370.842021697 4857318.104313709, -8366832.261311035 4857393.458783521, -8367439.509133311 4857491.318813214, -8367393.534183614 4857759.059488603))",1486.0,66.0,73.0,66.0,4.4
2,42,101,001500,1400000US42101001500,42101001500,15,Census Tract 15,PA,Philadelphia County,Pennsylvania,CT,239383,0,"POLYGON ((-8367393.534183614 4857759.059488603, -8366795.748518054 4857662.213194401, -8366445.426080528 4857603.989714825, -8366402.568076571 4857597.455929184, -8366270.654479982 4857576.547844014, -8366095.660240455 4857547.218520916, -8365919.55280602 4857519.63161287, -8365943.152538069 4857393.749167939, -8365968.199423497 4857232.732310163, -8366370.842021697 4857318.104313709, -8366832.261311035 4857393.458783521, -8367439.509133311 4857491.318813214, -8367393.534183614 4857759.059488603))",1486.0,66.0,73.0,66.0,4.4
3,42,101,001500,1400000US42101001500,42101001500,15,Census Tract 15,PA,Philadelphia County,Pennsylvania,CT,239383,0,"POLYGON ((-8367393.534183614 4857759.059488603, -8366795.748518054 4857662.213194401, -8366445.426080528 4857603.989714825, -8366402.568076571 4857597.455929184, -8366270.654479982 4857576.547844014, -8366095.660240455 4857547.218520916, -8365919.55280602 4857519.63161287, -8365943.152538069 4857393.749167939, -8365968.199423497 4857232.732310163, -8366370.842021697 4857318.104313709, -8366832.261311035 4857393.458783521, -8367439.509133311 4857491.318813214, -8367393.534183614 4857759.059488603))",1486.0,66.0,73.0,66.0,4.4
4,42,101,001500,1400000US42101001500,42101001500,15,Census Tract 15,PA,Philadelphia County,Pennsylvania,CT,239383,0,"POLYGON ((-8367393.534183614 4857759.059488603, -8366795.748518054 4857662.213194401, -8366445.426080528 4857603.989714825, -8366402.568076571 4857597.455929184, -8366270.654479982 4857576.547844014, -8366095.660240455 4857547.218520916, -8365919.55280602 4857519.63161287, -8365943.152538069 4857393.749167939, -8365968.199423497 4857232.732310163, -8366370.842021697 4857318.104313709, -8366832.261311035 4857393.458783521, -8367439.509133311 4857491.318813214, -8367393.534183614 4857759.059488603))",1486.0,66.0,73.0,66.0,4.4
5,42,101,001500,1400000US42101001500,42101001500,15,Census Tract 15,PA,Philadelphia County,Pennsylvania,CT,239383,0,"POLYGON ((-8367393.534183614 4857759.059488603, -8366795.748518054 4857662.213194401, -8366445.426080528 4857603.989714825, -8366402.568076571 4857597.455929184, -8366270.654479982 4857576.547844014, -8366095.660240455 4857547.218520916, -8365919.55280602 4857519.63161287, -8365943.152538069 4857393.749167939, -8365968.199423497 4857232.732310163, -8366370.842021697 4857318.104313709, -8366832.261311035 4857393.458783521, -8367439.509133311 4857491.318813214, -8367393.534183614 4857759.059488603))",1486.0,66.0,73.0,66.0,4.4
6,42,101,001500,1400000US42101001500,42101001500,15,Census Tract 15,PA,Philadelphia County,Pennsylvania,CT,239383,0,"POLYGON ((-8367393.534183614 4857759.059488603, -8366795.748518054 4857662.213194401, -8366445.426080528 4857603.989714825, -8366402.568076571 4857597.455929184, -8366270.654479982 4857576.547844014, -8366095.660240455 4857547.218520916, -8365919.55280602 4857519.63161287, -8365943.152538069 4857393.749167939, -8365968.199423497 4857232.732310163, -8366370.842021697 4857318.104313709, -8366832.261311035 4857393.458783521, -8367439.509133311 4857491.318813214, -8367393.534183614 4857759.059488603))",1486.0,66.0,73.0,66.0,4.4
7,42,101,001500,1400000US42101001500,42101001500,15,Census Tract 15,PA,Philadelphia County,Pennsylvania,CT,239383,0,"POLYGON ((-8367393.534183614 4857759.059488603, -8366795.748518054 4857662.213194401, -8366445.426080528 4857603.989714825, -8366402.568076571 4857597.455929184, -8366270.654479982 4857576.547844014, -8366095.660240455 4857547.218520916, -8365919.55280602 4857519.63161287, -8365943.152538069 4857393.749167939, -8365968.199423497 4857232.732310163, -8366370.842021697 4857318.104313709, -8366832.261311035 4857393.458783521, -8367439.509133311 4857491.318813214, -8367393.534183614 4857759.059488603))",1486.0,66.0,73.0,66.0,4.4
8,42,101,001500,1400000US42101001500,42101001500,15,Census Tract 15,PA,Philadelphia County,Pennsylvania,CT,239383,0,"POLYGON ((-8367393.534183614 4857759.059488603, -8366795.748518054 4857662.213194401, -8366445.426080528 4857603.989714825, -8366402.568076571 4857597.455929184, -8366270.654479982 4857576.547844014, -8366095.660240455 4857547.218520916, -8365919.55280602 4857519.63161287, -8365943.152538069 4857393.749167939, -8365968.199423497 4857232.732310163, -8366370.842021697 4857318.104313709, -8366832.261311035 4857393.458783521, -8367439.509133311 4857491.318813214, -8367393.534183614 4857759.059488603))",1486.0,66.0,73.0,66.0,4.4
9,42,101,001500,1400000US42101001500,42101001500,15,Census Tract 15,PA,Philadelphia County,Pennsylvania,CT,239383,0,"POLYGON ((-8367393.534183614 4857759.059488603, -8366795.748518054 4857662.213194401, -8366445.426080528 4857603.989714825, -8366402.568076571 4857597.455929184, -8366270.654479982 4857576.547844014, -8366095.660240455 4857547.218520916, -8365919.55280602 4857519.63161287, -8365943.152538069 4857393.749167939, -8365968.199423497 4857232.732310163, -8366370.842021697 4857318.104313709, -8366832.261311035 4857393.458783521, -8367439.509133311 4857491.318813214, -8367393.534183614 4857759.059488603))",1486.0,66.0,73.0,66.0,4.4
